Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1981,Alberta,Public,Other Institutions,"184,093,220",80
1982,Alberta,Public,Other Institutions,"182,605,831",77
1983,Alberta,Public,Other Institutions,"195,720,826",82
1984,Alberta,Public,Other Institutions,"209,246,919",87
1985,Alberta,Public,Other Institutions,"220,272,210",92
1986,Alberta,Public,Other Institutions,"235,478,205",97
1987,Alberta,Public,Other Institutions,"231,740,983",95
1988,Alberta,Public,Other Institutions,"239,076,772",97
1989,Alberta,Public,Other Institutions,"257,597,762",103
1990,Alberta,Public,Other Institutions,"283,932,104",111
1991,Alberta,Public,Other Institutions,"299,612,388",116
1992,Alberta,Public,Other Institutions,"294,420,852",112
1993,Alberta,Public,Other Institutions,"273,072,139",102
1994,Alberta,Public,Other Institutions,"270,857,923",100
1995,Alberta,Public,Other Institutions,"429,018,447",157
1996,Alberta,Public,Other Institutions,"499,849,791",180
1997,Alberta,Public,Other Institutions,"518,379,551",183
1998,Alberta,Public,Other Institutions,"507,256,581",175
1999,Alberta,Public,Other Institutions,"524,170,934",178
2000,Alberta,Public,Other Institutions,"532,888,386",177
2001,Alberta,Public,Other Institutions,"568,435,040",186
2002,Alberta,Public,Other Institutions,"532,996,839",170
2003,Alberta,Public,Other Institutions,"535,003,208",168
2004,Alberta,Public,Other Institutions,"601,746,053",186
2005,Alberta,Public,Other Institutions,"626,558,454",189
2006,Alberta,Public,Other Institutions,"668,521,407",195
2007,Alberta,Public,Other Institutions,"746,454,380",212
2008,Alberta,Public,Other Institutions,"798,487,042",222
2009,Alberta,Public,Other Institutions,"1,030,432,017",280
2010,Alberta,Public,Other Institutions,"1,314,836,952",352
2011,Alberta,Public,Other Institutions,"1,417,161,852",374
2012,Alberta,Public,Other Institutions,"1,490,287,152",385
2013,Alberta,Public,Other Institutions,"1,449,623,464",364
2014,Alberta,Public,Other Institutions,"1,568,403,073",384
2015,Alberta,Public,Other Institutions,"1,623,308,056",392
2016,Alberta,Public,Other Institutions,"1,719,682,966",410
2017,Alberta,Public,Other Institutions,"1,803,040,521",425
2018,Alberta,Public,Other Institutions,"1,869,812,200",434
2019,Alberta,Public,Other Institutions,"1,886,582,713",430
1975,Alberta,Public,Physicians,"143,232,500",79
1976,Alberta,Public,Physicians,"162,044,250",87
1977,Alberta,Public,Physicians,"177,205,500",91
1978,Alberta,Public,Physicians,"201,792,500",100
1979,Alberta,Public,Physicians,"232,693,000",111
1980,Alberta,Public,Physicians,"276,355,500",126
1981,Alberta,Public,Physicians,"341,248,250",149
1982,Alberta,Public,Physicians,"424,094,500",179
1983,Alberta,Public,Physicians,"476,770,500",199
1984,Alberta,Public,Physicians,"507,873,750",212
1985,Alberta,Public,Physicians,"545,934,250",227
1986,Alberta,Public,Physicians,"598,603,101",246
1987,Alberta,Public,Physicians,"623,081,198",255
1988,Alberta,Public,Physicians,"657,830,825",268
1989,Alberta,Public,Physicians,"717,349,118",287
1990,Alberta,Public,Physicians,"775,709,614",304
1991,Alberta,Public,Physicians,"854,546,429",330
1992,Alberta,Public,Physicians,"918,977,430",349
1993,Alberta,Public,Physicians,"939,936,711",352
1994,Alberta,Public,Physicians,"902,046,564",334
1995,Alberta,Public,Physicians,"826,339,848",302
1996,Alberta,Public,Physicians,"790,959,821",285
1997,Alberta,Public,Physicians,"816,501,180",289
1998,Alberta,Public,Physicians,"889,066,463",307
1999,Alberta,Public,Physicians,"962,779,870",326
2000,Alberta,Public,Physicians,"1,041,957,799",347
2001,Alberta,Public,Physicians,"1,186,724,016",388
2002,Alberta,Public,Physicians,"1,393,173,931",445
2003,Alberta,Public,Physicians,"1,565,422,809",492
2004,Alberta,Public,Physicians,"1,647,000,785",509
2005,Alberta,Public,Physicians,"1,828,142,254",550
2006,Alberta,Public,Physicians,"2,042,400,677",597
2007,Alberta,Public,Physicians,"2,289,281,526",651
2008,Alberta,Public,Physicians,"2,692,548,225",749
2009,Alberta,Public,Physicians,"3,033,608,423",825
2010,Alberta,Public,Physicians,"3,331,722,118",893
2011,Alberta,Public,Physicians,"3,605,208,890",951
2012,Alberta,Public,Physicians,"3,795,793,818",980
2013,Alberta,Public,Physicians,"4,058,900,286","1,020"
2014,Alberta,Public,Physicians,"4,335,783,036","1,062"
2015,Alberta,Public,Physicians,"4,680,757,144","1,129"
2016,Alberta,Public,Physicians,"4,927,006,694","1,174"
2017,Alberta,Public,Physicians,"5,149,562,427","1,213"
2018,Alberta,Public,Physicians,"5,338,915,292","1,240"
2019,Alberta,Public,Physicians,"5,382,746,321","1,227"
1975,Alberta,Public,Other Professionals,"19,074,500",11
1976,Alberta,Public,Other Professionals,"22,550,000",12
1977,Alberta,Public,Other Professionals,"24,909,750",13
1978,Alberta,Public,Other Professionals,"28,591,750",14
1979,Alberta,Public,Other Professionals,"33,929,500",16
1980,Alberta,Public,Other Professionals,"41,748,250",19
1981,Alberta,Public,Other Professionals,"54,963,000",24
1982,Alberta,Public,Other Professionals,"66,128,500",28
1983,Alberta,Public,Other Professionals,"77,715,000",32
1984,Alberta,Public,Other Professionals,"85,132,500",36
1985,Alberta,Public,Other Professionals,"94,569,000",39
1986,Alberta,Public,Other Professionals,"109,183,549",45
1987,Alberta,Public,Other Professionals,"104,688,649",43
1988,Alberta,Public,Other Professionals,"119,586,248",49
1989,Alberta,Public,Other Professionals,"162,635,166",65
1990,Alberta,Public,Other Professionals,"182,021,276",71
1991,Alberta,Public,Other Professionals,"186,833,011",72
1992,Alberta,Public,Other Professionals,"190,898,969",73
1993,Alberta,Public,Other Professionals,"189,155,297",71
1994,Alberta,Public,Other Professionals,"180,851,921",67
1995,Alberta,Public,Other Professionals,"134,856,120",49
1996,Alberta,Public,Other Professionals,"114,170,499",41
1997,Alberta,Public,Other Professionals,"113,618,853",40
1998,Alberta,Public,Other Professionals,"121,438,786",42
1999,Alberta,Public,Other Professionals,"138,760,796",47
2000,Alberta,Public,Other Professionals,"151,648,432",50
2001,Alberta,Public,Other Professionals,"158,426,974",52
2002,Alberta,Public,Other Professionals,"147,055,667",47
2003,Alberta,Public,Other Professionals,"155,795,135",49
2004,Alberta,Public,Other Professionals,"167,975,745",52
2005,Alberta,Public,Other Professionals,"175,903,235",53
2006,Alberta,Public,Other Professionals,"223,075,948",65
2007,Alberta,Public,Other Professionals,"247,145,000",70
2008,Alberta,Public,Other Professionals,"265,000,330",74
2009,Alberta,Public,Other Professionals,"280,558,098",76
2010,Alberta,Public,Other Professionals,"297,309,399",80
2011,Alberta,Public,Other Professionals,"308,941,792",82
2012,Alberta,Public,Other Professionals,"324,993,081",84
2013,Alberta,Public,Other Professionals,"335,657,202",84
2014,Alberta,Public,Other Professionals,"361,504,025",89
2015,Alberta,Public,Other Professionals,"395,534,600",95
2016,Alberta,Public,Other Professionals,"417,071,623",99
2017,Alberta,Public,Other Professionals,"436,604,796",103
2018,Alberta,Public,Other Professionals,"461,112,104",107
2019,Alberta,Public,Other Professionals,"471,357,099",107
1975,Alberta,Public,Drugs,"12,918,750",7
1976,Alberta,Public,Drugs,"15,225,750",8
1977,Alberta,Public,Drugs,"17,493,000",9
1978,Alberta,Public,Drugs,"20,394,000",10
1979,Alberta,Public,Drugs,"23,683,250",11
1980,Alberta,Public,Drugs,"28,393,000",13
1981,Alberta,Public,Drugs,"34,633,750",15
1982,Alberta,Public,Drugs,"43,469,250",18
1983,Alberta,Public,Drugs,"53,005,825",22
1984,Alberta,Public,Drugs,"61,883,878",26
1985,Alberta,Public,Drugs,"76,716,330",32
1986,Alberta,Public,Drugs,"91,373,030",38
1987,Alberta,Public,Drugs,"104,611,442",43
1988,Alberta,Public,Drugs,"118,692,028",48
1989,Alberta,Public,Drugs,"172,671,374",69
1990,Alberta,Public,Drugs,"194,900,298",76
1991,Alberta,Public,Drugs,"207,123,377",80
1992,Alberta,Public,Drugs,"225,642,909",86
1993,Alberta,Public,Drugs,"229,872,217",86
1994,Alberta,Public,Drugs,"234,244,782",87
1995,Alberta,Public,Drugs,"241,544,016",88
1996,Alberta,Public,Drugs,"262,383,599",95
1997,Alberta,Public,Drugs,"287,645,674",102
1998,Alberta,Public,Drugs,"315,040,729",109
1999,Alberta,Public,Drugs,"374,623,067",127
2000,Alberta,Public,Drugs,"437,786,317",146
2001,Alberta,Public,Drugs,"510,148,246",167
2002,Alberta,Public,Drugs,"581,667,675",186
2003,Alberta,Public,Drugs,"663,211,890",208
2004,Alberta,Public,Drugs,"725,483,856",224
2005,Alberta,Public,Drugs,"791,731,314",238
2006,Alberta,Public,Drugs,"845,790,678",247
2007,Alberta,Public,Drugs,"880,571,586",251
2008,Alberta,Public,Drugs,"916,003,110",255
2009,Alberta,Public,Drugs,"1,096,598,046",298
2010,Alberta,Public,Drugs,"1,225,142,839",328
2011,Alberta,Public,Drugs,"1,331,617,776",351
2012,Alberta,Public,Drugs,"1,326,976,072",342
2013,Alberta,Public,Drugs,"1,353,578,236",340
2014,Alberta,Public,Drugs,"1,395,819,571",342
2015,Alberta,Public,Drugs,"1,539,845,163",372
2016,Alberta,Public,Drugs,"1,637,950,736",390
2017,Alberta,Public,Drugs,"1,658,925,924",391
2018,Alberta,Public,Drugs,"1,683,935,191",391
2019,Alberta,Public,Drugs,"1,697,404,680",387
1975,Alberta,Public,Capital,"17,764,500",10
1976,Alberta,Public,Capital,"36,996,500",20
1977,Alberta,Public,Capital,"57,781,250",30
1978,Alberta,Public,Capital,"117,501,500",58
1979,Alberta,Public,Capital,"218,874,250",104
1980,Alberta,Public,Capital,"252,438,500",115
1981,Alberta,Public,Capital,"269,824,250",118
1982,Alberta,Public,Capital,"327,924,500",138
1983,Alberta,Public,Capital,"382,185,000",160
1984,Alberta,Public,Capital,"321,375,000",134
1985,Alberta,Public,Capital,"346,974,899",144
1986,Alberta,Public,Capital,"366,059,236",150
1987,Alberta,Public,Capital,"283,697,155",116
1988,Alberta,Public,Capital,"196,415,043",80
1989,Alberta,Public,Capital,"205,164,815",82
1990,Alberta,Public,Capital,"208,214,187",82
1991,Alberta,Public,Capital,"150,578,384",58
1992,Alberta,Public,Capital,"187,582,862",71
1993,Alberta,Public,Capital,"176,385,919",66
1994,Alberta,Public,Capital,"146,158,782",54
1995,Alberta,Public,Capital,"105,930,501",39
1996,Alberta,Public,Capital,"111,647,672",40
1997,Alberta,Public,Capital,"110,895,851",39
1998,Alberta,Public,Capital,"126,238,290",44
1999,Alberta,Public,Capital,"290,081,704",98
2000,Alberta,Public,Capital,"337,667,912",112
2001,Alberta,Public,Capital,"446,030,802",146
2002,Alberta,Public,Capital,"544,653,725",174
2003,Alberta,Public,Capital,"574,428,330",180
2004,Alberta,Public,Capital,"586,524,201",181
2005,Alberta,Public,Capital,"704,376,180",212
2006,Alberta,Public,Capital,"832,774,829",243
2007,Alberta,Public,Capital,"979,496,721",279
2008,Alberta,Public,Capital,"1,268,500,725",353
2009,Alberta,Public,Capital,"955,372,528",260
2010,Alberta,Public,Capital,"1,102,335,256",295
2011,Alberta,Public,Capital,"905,303,808",239
2012,Alberta,Public,Capital,"968,358,240",250
2013,Alberta,Public,Capital,"736,658,103",185
2014,Alberta,Public,Capital,"593,226,524",145
2015,Alberta,Public,Capital,"709,343,284",171
2016,Alberta,Public,Capital,"559,313,481",133
2017,Alberta,Public,Capital,"791,913,931",187
2018,Alberta,Public,Capital,"1,134,179,489",263
2019,Alberta,Public,Capital,"1,215,995,273",277
1975,Alberta,Public,Public Health,"48,361,273",27
1976,Alberta,Public,Public Health,"59,967,459",32
1977,Alberta,Public,Public Health,"70,545,650",36
1978,Alberta,Public,Public Health,"75,756,477",37
1979,Alberta,Public,Public Health,"96,621,625",46
1980,Alberta,Public,Public Health,"125,660,416",57
1981,Alberta,Public,Public Health,"166,252,365",73
1982,Alberta,Public,Public Health,"224,210,156",95
1983,Alberta,Public,Public Health,"230,897,996",96
1984,Alberta,Public,Public Health,"240,518,395",100
1985,Alberta,Public,Public Health,"260,923,478",109
1986,Alberta,Public,Public Health,"282,172,316",116
1987,Alberta,Public,Public Health,"293,310,539",120
1988,Alberta,Public,Public Health,"280,955,765",114
1989,Alberta,Public,Public Health,"300,195,962",120
1990,Alberta,Public,Public Health,"277,680,588",109
1991,Alberta,Public,Public Health,"296,671,447",114
1992,Alberta,Public,Public Health,"314,903,225",120
1993,Alberta,Public,Public Health,"314,395,546",118
1994,Alberta,Public,Public Health,"425,351,485",158
1995,Alberta,Public,Public Health,"350,116,507",128
1996,Alberta,Public,Public Health,"371,070,795",134
1997,Alberta,Public,Public Health,"463,514,114",164
1998,Alberta,Public,Public Health,"560,876,314",193
1999,Alberta,Public,Public Health,"732,099,285",248
2000,Alberta,Public,Public Health,"804,157,605",268
2001,Alberta,Public,Public Health,"910,263,590",298
2002,Alberta,Public,Public Health,"943,259,111",302
2003,Alberta,Public,Public Health,"997,181,511",313
2004,Alberta,Public,Public Health,"1,138,405,652",352
2005,Alberta,Public,Public Health,"1,412,331,544",425
2006,Alberta,Public,Public Health,"1,553,892,137",454
2007,Alberta,Public,Public Health,"1,786,421,030",508
2008,Alberta,Public,Public Health,"1,870,085,011",520
2009,Alberta,Public,Public Health,"1,483,438,228",403
2010,Alberta,Public,Public Health,"1,503,182,670",403
2011,Alberta,Public,Public Health,"1,568,684,613",414
2012,Alberta,Public,Public Health,"1,621,211,473",418
2013,Alberta,Public,Public Health,"1,678,653,978",422
2014,Alberta,Public,Public Health,"1,810,191,107",443
2015,Alberta,Public,Public Health,"1,877,382,012",453
2016,Alberta,Public,Public Health,"2,003,249,359",477
2017,Alberta,Public,Public Health,"2,062,182,947",486
2018,Alberta,Public,Public Health,"2,144,702,635",498
2019,Alberta,Public,Public Health,"2,194,246,558",500
1975,Alberta,Public,Administration,"9,890,274",5
1976,Alberta,Public,Administration,"10,950,645",6
1977,Alberta,Public,Administration,"12,107,617",6
1978,Alberta,Public,Administration,"26,746,641",13
1979,Alberta,Public,Administration,"31,212,818",15
1980,Alberta,Public,Administration,"35,420,527",16
1981,Alberta,Public,Administration,"44,811,165",20
1982,Alberta,Public,Administration,"53,301,763",22
1983,Alberta,Public,Administration,"52,701,155",22
1984,Alberta,Public,Administration,"53,354,596",22
1985,Alberta,Public,Administration,"53,397,315",22
1986,Alberta,Public,Administration,"55,111,561",23
1987,Alberta,Public,Administration,"65,964,854",27
1988,Alberta,Public,Administration,"67,223,571",27
1989,Alberta,Public,Administration,"63,521,845",25
1990,Alberta,Public,Administration,"68,045,117",27
1991,Alberta,Public,Administration,"73,216,092",28
1992,Alberta,Public,Administration,"77,962,947",30
1993,Alberta,Public,Administration,"76,808,714",29
1994,Alberta,Public,Administration,"81,485,024",30
1995,Alberta,Public,Administration,"87,900,084",32
1996,Alberta,Public,Administration,"97,151,617",35
1997,Alberta,Public,Administration,"110,051,644",39
1998,Alberta,Public,Administration,"136,990,213",47
1999,Alberta,Public,Administration,"150,072,755",51
2000,Alberta,Public,Administration,"175,073,990",58
2001,Alberta,Public,Administration,"192,323,550",63
2002,Alberta,Public,Administration,"206,118,972",66
2003,Alberta,Public,Administration,"221,897,403",70
2004,Alberta,Public,Administration,"242,532,820",75
2005,Alberta,Public,Administration,"267,935,864",81
2006,Alberta,Public,Administration,"267,716,137",78
2007,Alberta,Public,Administration,"279,655,174",80
2008,Alberta,Public,Administration,"328,703,496",91
2009,Alberta,Public,Administration,"315,028,303",86
2010,Alberta,Public,Administration,"319,040,968",85
2011,Alberta,Public,Administration,"282,868,316",75
2012,Alberta,Public,Administration,"294,547,989",76
2013,Alberta,Public,Administration,"298,392,890",75
2014,Alberta,Public,Administration,"278,900,574",68
2015,Alberta,Public,Administration,"256,721,024",62
2016,Alberta,Public,Administration,"261,485,014",62
2017,Alberta,Public,Administration,"285,572,345",67
2018,Alberta,Public,Administration,"304,228,068",71
2019,Alberta,Public,Administration,"317,267,038",72
1975,Alberta,Public,Other Health Spending,"11,771,501",7
1976,Alberta,Public,Other Health Spending,"13,027,167",7
1977,Alberta,Public,Other Health Spending,"14,252,250",7
1978,Alberta,Public,Other Health Spending,"18,869,000",9
1979,Alberta,Public,Other Health Spending,"38,429,250",18
1980,Alberta,Public,Other Health Spending,"47,721,750",22
1981,Alberta,Public,Other Health Spending,"63,361,000",28
1982,Alberta,Public,Other Health Spending,"77,918,750",33
1983,Alberta,Public,Other Health Spending,"102,950,197",43
1984,Alberta,Public,Other Health Spending,"108,353,962",45
1985,Alberta,Public,Other Health Spending,"125,558,167",52
1986,Alberta,Public,Other Health Spending,"149,490,933",61
1987,Alberta,Public,Other Health Spending,"133,687,083",55
1988,Alberta,Public,Other Health Spending,"187,631,071",76
1989,Alberta,Public,Other Health Spending,"230,444,553",92
1990,Alberta,Public,Other Health Spending,"249,722,849",98
1991,Alberta,Public,Other Health Spending,"267,108,245",103
1992,Alberta,Public,Other Health Spending,"283,363,042",108
1993,Alberta,Public,Other Health Spending,"303,229,071",114
1994,Alberta,Public,Other Health Spending,"319,069,372",118
1995,Alberta,Public,Other Health Spending,"338,467,034",124
1996,Alberta,Public,Other Health Spending,"370,636,497",134
1997,Alberta,Public,Other Health Spending,"458,999,591",162
1998,Alberta,Public,Other Health Spending,"501,469,526",173
1999,Alberta,Public,Other Health Spending,"521,876,577",177
2000,Alberta,Public,Other Health Spending,"583,664,408",194
2001,Alberta,Public,Other Health Spending,"703,636,220",230
2002,Alberta,Public,Other Health Spending,"744,553,449",238
2003,Alberta,Public,Other Health Spending,"805,188,039",253
2004,Alberta,Public,Other Health Spending,"826,912,839",255
2005,Alberta,Public,Other Health Spending,"837,685,485",252
2006,Alberta,Public,Other Health Spending,"939,961,701",275
2007,Alberta,Public,Other Health Spending,"984,451,196",280
2008,Alberta,Public,Other Health Spending,"1,000,450,990",278
2009,Alberta,Public,Other Health Spending,"1,281,678,185",348
2010,Alberta,Public,Other Health Spending,"1,548,791,267",415
2011,Alberta,Public,Other Health Spending,"1,642,988,555",434
2012,Alberta,Public,Other Health Spending,"1,810,587,710",467
2013,Alberta,Public,Other Health Spending,"1,983,300,911",498
2014,Alberta,Public,Other Health Spending,"2,037,447,941",499
2015,Alberta,Public,Other Health Spending,"2,047,648,469",494
